,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner_team,goal_difference
23611,2001-04-24,Egypt,Canada,3,0,Friendly,Cairo,Egypt,False,Egypt,3
23612,2001-04-24,Georgia,Israel,3,2,Friendly,Tbilisi,Georgia,False,Georgia,1
23613,2001-04-24,Iran,Korea Republic,0,1,Friendly,Cairo,Egypt,True,Korea Republic,1
23614,2001-04-24,Panama,Haiti,2,0,Friendly,Panama City,Panama,False,Panama,2
23615,2001-04-24,Venezuela,Colombia,2,2,FIFA World Cup qualification,San Cristóbal,Venezuela,False,Draw,0
23616,2001-04-25,Austria,Liechtenstein,2,0,FIFA World Cup qualification,Innsbruck,Austria,False,Austria,2
23617,2001-04-25,Bolivia,Argentina,3,3,FIFA World Cup qualification,La Paz,Bolivia,False,Draw,0
23618,2001-04-25,Brazil,Peru,1,1,FIFA World Cup qualification,São Paulo,Brazil,False,Draw,0
23619,2001-04-25,Croatia,Greece,2,2,Friendly,Varaždin,Croatia,False,Draw,0
23620,2001-04-25,Czech Republic,Belgium,1,1,Friendly,Prague,Czech Republic,False,Draw,0
23621,2001-04-25,Denmark,Slovenia,3,0,Friendly,Copenhagen,Denmark,False,Denmark,3
23622,2001-04-25,France,Portugal,4,0,Friendly,Saint-Denis,France,False,France,4
23623,2001-04-25,Hungary,Finland,0,0,Friendly,Budapest,Hungary,False,Draw,0
23624,2001-04-25,Ireland,Andorra,3,1,FIFA World Cup qualification,Dublin,Ireland,False,Ireland,2
23625,2001-04-25,Italy,South Africa,1,0,Friendly,Perugia,Italy,False,Italy,1
23626,2001-04-25,Jamaica,Honduras,1,1,FIFA World Cup qualification,Kingston,Jamaica,False,Draw,0
23627,2001-04-25,Kazakhstan,Iraq,1,1,FIFA World Cup qualification,Almaty,Kazakhstan,False,Draw,0
23628,2001-04-25,Latvia,San Marino,1,1,FIFA World Cup qualification,Riga,Latvia,False,Draw,0
23629,2001-04-25,Lebanon,Philippines,3,0,Friendly,Tripoli,Lebanon,False,Lebanon,3
23630,2001-04-25,Macau,Nepal,1,6,FIFA World Cup qualification,Almaty,Kazakhstan,True,Nepal,5
23631,2001-04-25,Malta,Iceland,1,4,FIFA World Cup qualification,Attard,Malta,False,Iceland,3
23632,2001-04-25,Moldova,Estonia,0,0,Friendly,Chişinău,Moldova,False,Draw,0
23633,2001-04-25,Netherlands,Cyprus,4,0,FIFA World Cup qualification,Eindhoven,Netherlands,False,Netherlands,4
